ID,Date,Situation,Problem,Expected,Consequence,Status,Agent,Files_ModifiedFORM-001,2026-03-10,Direccion optional + no RUT field,Direccion was optional and RUT field was missing in intake form step 1,Direccion required with * and validation; RUT field with Chilean format validation added,Patient data more complete,FIXED,Agent2-FormFicha,templates/patient_public_intake.html;app.pyFORM-002,2026-03-10,2026-03-10,No field for foods patient dislikes,Missing textarea for alimentos que no consume por gusto,Added textarea in step 2 + new DB column alimentos_no_consume + save in submit handler,Better dietary profiling,FIXED,Agent2-FormFicha,templates/patient_public_intake.html;models.py;app.py;templates/patient_file.html;templates/patient_ficha_view.html
FORM-003,2026-03-10,2026-03-10,Missing Bajar grasa corporal objective,Objective not available in step 4 checkbox pills,Added bajar_grasa option following existing pattern,More complete objective options,FIXED,Agent2-FormFicha,templates/patient_public_intake.html
FORM-004,2026-03-10,2026-03-10,Objectives missing in direct patient creation,patient_intake_form.html only had 5 nutritionist-focused objectives,Added all patient-facing objectives (bajar_peso subir_peso ganar_masa bajar_grasa etc),Consistent objectives in both flows,FIXED,Agent2-FormFicha,templates/patient_intake_form.html
FORM-005,2026-03-11,2026-03-11,Frequency table header not sticky,EFC table header scrolls out of view on long tables,Added position:sticky + z-index + background to thead and th in EFC table CSS,Better UX when filling frequency table,FIXED,Agent2-FormFicha,templates/patient_public_intake.html
FICHA-001,2026-03-12,2026-03-12,Horarios y Habitos subsection duplicated by R24hrs,Horarios subsection in Conducta y Entorno redundant,Removed subsection header and time inputs; moved checkboxes (pica come_frente come_rapido) to Conducta top,Cleaner ficha without duplication,FIXED,Agent2-FormFicha,templates/patient_file.html
FICHA-002,2026-03-12,2026-03-12,Ingesta Publica display redundant,Habitos y Horarios Ingesta Publica section in section 4d was duplicate info,Removed entire Ingesta Publica display block from Consumo de Liquidos section,No more duplicate data display,FIXED,Agent2-FormFicha,templates/patient_file.html
FICHA-003,2026-03-12,2026-03-12,No GI triggers detail when patient has symptoms,No way to record what triggers GI symptoms,Added gatillantes_gi textarea in Sintomas GI section + conditional alert + new DB column + save handlers,Better GI tracking for pauta planning,FIXED,Agent2-FormFicha,templates/patient_file.html;templates/patient_public_intake.html;models.py;app.py
FICHA-004,2026-03-12,2026-03-12,No section-level notes in ficha,Nutritionist cannot add observations per section,Added collapsible Observaciones textarea to sections 1 2 3 4 4b 4c,Per-section note-taking capability,FIXED,Agent2-FormFicha,templates/patient_file.html
FICHA-005,2026-03-13,2026-03-13,No detail fields for sleep quality and stress,Only numeric scores for sleep/stress with no explanation fields,Added textareas for observaciones_sueno gatillantes_estres manejo_estres in Estilo de Vida section + ficha view,Richer sleep and stress assessment,FIXED,Agent2-FormFicha,templates/patient_file.html;templates/patient_ficha_view.html
BUG-001,2026-03-13,2026-03-13,Pauta generator crashes on None values,.lower() called on NoneType in __post_init__ and grupo_original,Added null checks with str() fallback in pauta_generator.py,Pauta generation no longer crashes,FIXED,Agent1-CriticalBugs,pauta_generator.py
BUG-002,2026-03-13,2026-03-13,R24hrs cannot be added after form submission,No way to manually add R24hrs from ficha view,Added manual entry button + inline form for each meal time,Nutritionist can always add R24hrs data,FIXED,Agent1-CriticalBugs,templates/patient_file.html
BUG-003,2026-03-13,2026-03-13,Print view only shows Almuerzo,dayData.comidas key mismatch - generator outputs tiempos not comidas,Changed to dayData.tiempos || dayData.comidas || dayData,All meals show in print view,FIXED,Agent1-CriticalBugs,templates/patient_dashboard.html
BUG-004,2026-03-13,2026-03-13,Pauta not editable after creation,No edit capability on generated pauta modal,Added inline edit fields + toggle edit mode button + delete per row,Nutritionist can modify pauta post-generation,FIXED,Agent1-CriticalBugs,js/patient-file.js
BUG-005,2026-03-13,2026-03-13,Meals in wrong display order,Object.entries returns arbitrary order for meal times,Added sort by predefined mealOrder array (desayuno > colacion_am > almuerzo > colacion_pm > cena),Logical meal order in dashboard,FIXED,Agent1-CriticalBugs,templates/patient_dashboard.html
BUG-006,2026-03-14,2026-03-14,Objectives/Diagnoses shown as JSON arrays,Textarea displays raw ["bajar_peso" "energia"] instead of readable text,Added DOMContentLoaded formatter that parses JSON and maps to human labels,Clean readable text display,FIXED,Agent1-CriticalBugs,templates/patient_file.html
BUG-007,2026-03-14,2026-03-14,KPI radar chart shows 0/10 for frutas/hidratacion/fraccionamiento,Chart used non-existent freq_frutas radio buttons,Changed to use frecuencia_consumo JSON data + comidas_dia for calculations,Accurate KPI scores,FIXED,Agent1-CriticalBugs,templates/patient_file.html
BUG-008,2026-03-14,2026-03-14,Bristol scale icons confusing - numbers only,Small numbered badges hard to interpret,Replaced with labeled list showing Tipo 1-7 with full descriptions + color coding,Clear and understandable Bristol display,FIXED,Agent1-CriticalBugs,templates/patient_file.html
EMAIL-001,2026-03-15,2026-03-15,No warning about email going to spam,User not informed emails may land in spam/promotions,Added inline warning note when email_sent is true in both dashboard and booking,Users know to check spam folder,FIXED,Agent1-CriticalBugs,templates/nutritionist_dashboard.html;templates/booking.html
FICHA-006,2026-03-20,2026-03-20,Single text field for exercise type,Cannot track multiple physical activities with details,Added dynamic multi-activity rows (tipo frecuencia duracion esfuerzo horario) + add/remove buttons,Detailed activity tracking per patient,FIXED,Agent3-FichaExpansion,templates/patient_file.html;models.py
FICHA-007,2026-03-20,2026-03-20,Limited anthropometry fields,Missing % grasa masa_muscular masa_grasa grasa_visceral and method selection,Added composition method selector (InBody etc) + 4 new measurement fields,Complete body composition assessment,FIXED,Agent3-FichaExpansion,templates/patient_file.html;models.py
FICHA-008,2026-03-20,2026-03-20,No historical measurement tracking,Single snapshot - no evolution over time,Added historical measurements table with date + all metrics + Chart.js placeholder,Track patient progress over time,FIXED,Agent3-FichaExpansion,templates/patient_file.html;models.py
FICHA-009,2026-03-20,2026-03-20,No biochemical exam history or file upload,Single set of lab values with no history,Added exam history table (fecha tipo valor rango) + file upload input,Track lab evolution + store reports,FIXED,Agent3-FichaExpansion,templates/patient_file.html;models.py
PAUTA-001,2026-03-22,2026-03-22,Only one calorie calculation method,No choice between calorimetry TMB+FA factorial,Added method selector dropdown in requerimientos section,Flexible calorie calculation,FIXED,Agent3-FichaExpansion,templates/patient_file.html;models.py
PAUTA-002,2026-03-22,2026-03-22,No deficit/surplus adjustment,Cannot modify total calories for weight goals,Added ajuste_calorico input + GET Final display,Easy caloric adjustment for goals,FIXED,Agent3-FichaExpansion,templates/patient_file.html;models.py
PAUTA-003,2026-03-22,2026-03-22,Macros only in grams and %,Missing gr/kg display critical for sports nutrition,Added gr/kg calculation next to each macro (protein carbs fats),Better sports nutrition planning,FIXED,Agent3-FichaExpansion,templates/patient_file.html;models.py
PAUTA-004,2026-03-22,2026-03-22,No manual pauta creation - only AI generation,Nutritionist forced to use auto-generation,Added Pauta Manual button + modal with per-meal food entry + Proyectar Semana IA placeholder,Full control over meal planning,FIXED,Agent3-FichaExpansion,templates/patient_file.html;js/patient-file.js
PAUTA-005,2026-03-23,2026-03-23,No per-meal macro breakdown,Only total daily macros shown,Added kcal display per meal in pauta modal + macro columns in manual pauta,Detailed nutritional view per meal,FIXED,Agent3-FichaExpansion,js/patient-file.js
R24H-001,2026-03-25,2026-03-25,No food search in R24hrs section,Nutritionist must manually type food names without autocomplete,Added food search with /api/alimentos integration + inline autocomplete per row + main search bar,Fast food lookup when filling R24hrs,FIXED,Direct,templates/patient_file.html
R24H-002,2026-03-25,2026-03-25,Horarios de Comidas in wrong section,Meal schedule times were removed from ficha (FICHA-001) but not relocated,Added Horarios de Comidas (desayuno/almuerzo/cena time inputs) inside R24hrs section,Meal times visible alongside food record,FIXED,Direct,templates/patient_file.html
R24H-003,2026-03-25,2026-03-25,Potential horarios duplication in results,Horarios could appear in both Conducta y Entorno and R24hrs,Verified no duplication - horarios only in R24hrs section now,Clean single-source display,FIXED,Direct,templates/patient_file.html
R24H-004,2026-03-26,2026-03-26,R24hrs not editable when patient filled intake form,Read-only display when registro_24h had data from intake submission,Replaced read-only view with always-editable table rows pre-filled with existing data + collectR24hDataFromFicha() for saving,Nutritionist can always edit R24hrs,FIXED,Direct,templates/patient_file.html;js/patient-file.js
AI-PAUTA-001,2026-03-01,2026-04-02,No AI pauta modification,Nutritionists cannot modify generated pautas using natural language,Add /api/pauta/modificar-ia endpoint + AI panel in pauta wizard Step 2,Nutritionists can request specific dietary changes via text instructions,FIXED,Claude+Raimundo,app.py;gemini_service.py;groq_service.py;js/pauta-generator.js;css/pauta-generator-premium.css
FEATURE-BARCODE-001,2026-03-01,2026-04-02,No barcode scanner for food products,Nutritionists manually search foods without barcode lookup,Add barcode scanner modal in dashboard using Open Food Facts API,Scan products to enrich food database automatically,FIXED,Claude+Raimundo,app.py;templates/nutritionist_dashboard.html
AI-PAUTA-001,2026-04-02,No AI pauta modification,Nutritionists cannot modify generated pautas using natural language,Add /api/pauta/modificar-ia endpoint + AI panel in pauta wizard Step 2,Nutritionists can request specific dietary changes via text instructions,FIXED,Claude+Raimundo,app.py;gemini_service.py;groq_service.py;js/pauta-generator.js;css/pauta-generator-premium.css
FEATURE-BARCODE-001,2026-04-02,No barcode scanner for food products,Nutritionists manually search foods without barcode lookup,Add barcode scanner modal in dashboard using Open Food Facts API,Scan products to enrich food database automatically,FIXED,Claude+Raimundo,app.py;templates/nutritionist_dashboard.html
AUTH-PWD-001,2026-04-02,No password recovery system,Users cannot reset forgotten passwords,Implement token-based password recovery with 1-hour expiration + email notification,Users can securely recover their accounts,FIXED,Claude,models.py:1044-1074;auth.py:7,9,10,237-320,252;email_service.py;templates/forgot_password.html;templates/reset_password.html;templates/login.html:115;tests/__init__.py;tests/conftest.py:1-177;tests/test_password_recovery.py:1-263
INTAKE-001,2026-04-05,consumo_agua_litros not saved from intake form,Float field missing from intake POST campos_float handler,Added consumo_agua_litros to intake float handler,Hydration data preserved from patient form,FIXED,Claude,app.py
INTAKE-002,2026-04-05,tipo_alcohol not saved from intake form,Field missing from intake POST campos_texto list,Added tipo_alcohol to intake campos_texto,Alcohol type data preserved,FIXED,Claude,app.py
INTAKE-003,2026-04-05,pica/come_frente/come_rapido overwritten to false,Commented-out checkboxes in intake JS always send false overwriting nutritionist values,Changed intake POST to only save these booleans when explicitly true,Nutritionist-set values preserved,FIXED,Claude,app.py
INTAKE-004,2026-04-05,frecuencia_consumo key mismatch,Intake saves full names (Frutas) but ficha/charts expect short keys (frutas),Added key property to efcItems + use item.key instead of item.name when building dict,EFC data correctly displays and charts work,FIXED,Claude,templates/patient_public_intake.html
INTAKE-005,2026-04-05,horas_sueno value mismatch,Intake uses menos_5/mas_8 but ficha uses 3-5/+8,Aligned intake values to match ficha select options,Sleep hours display correctly in ficha,FIXED,Claude,templates/patient_public_intake.html
FICHA-010,2026-04-05,RUT and direccion invisible in ficha,Fields saved from intake but not displayed in patient_file.html,Added RUT and Direccion input fields in section 1,Nutritionist can see and edit address/RUT,FIXED,Claude,templates/patient_file.html
FICHA-011,2026-04-05,cirugias and antecedentes_familiares invisible in ficha,Data saved from intake but no display elements,Added dedicated textareas for cirugias and antecedentes_familiares in section 1,Complete medical history visible,FIXED,Claude,templates/patient_file.html
FICHA-012,2026-04-05,otros_diagnosticos invisible in ficha,Separate from otros_antecedentes - patient input lost,Added conditional read-only display for otros_diagnosticos from intake form,Nutritionist sees all patient diagnoses,FIXED,Claude,templates/patient_file.html
FICHA-013,2026-04-05,sintomas_gi values not shown in ficha,Only used as boolean check - actual symptom names invisible,Added conditional textarea display for sintomas_gi with format_labels,GI symptoms visible for clinical assessment,FIXED,Claude,templates/patient_file.html
CHART-001,2026-04-05,Frutas/Verduras radar score always 0,freqData.frutas key mismatch with actual frecuencia_consumo keys,Added getFreqVal() helper that tries short key + full name + case-insensitive match,Accurate fruit/vegetable consumption scores,FIXED,Claude,templates/patient_file.html
CHART-002,2026-04-05,Reflujo/Hinchazon penalty never fires in digestion score,Code uses .checked on select elements (should be .value),Changed to check .value === si instead of .checked,Digestion score reflects GI issues,FIXED,Claude,templates/patient_file.html
CHART-003,2026-04-05,Sintomas GI field not found for digestion score,querySelector for name=sintomas_gi finds nothing in DOM,Changed to look for sintomas_gi_display textarea,GI symptom penalty applies correctly,FIXED,Claude,templates/patient_file.html
CHART-004,2026-04-05,Legumbres bonus never applies in digestion score,Same key mismatch as CHART-001,Uses getFreqVal() helper with fallback keys,Fiber source bonus works,FIXED,Claude,templates/patient_file.html
FEATURE-R24-FIX,2026-04-05,R24 data invisible after intake submission,TEXT column type vs db.JSON mismatch - data returned as string not dict,Added server-side JSON parsing for all JSON-stored fields before template render,R24 data displays correctly after intake,FIXED,Claude,app.py
FEATURE-F19,2026-04-05,No otros_antecedentes field in ficha,Missing free text for surgeries TCA depression family history,Added otros_antecedentes textarea in section 1,Complete patient history,FIXED,Claude,templates/patient_file.html;models.py;app.py
FEATURE-F20,2026-04-05,No red de apoyo field,Missing support network assessment,Added red_de_apoyo input in Conducta y Entorno section,Support network documented,FIXED,Claude,templates/patient_file.html;models.py;app.py
FEATURE-F21,2026-04-05,No hambre emocional assessment,Missing emotional eating detection,Added hambre_emocional toggle with psychological referral alert,Emotional eating flagged for referral,FIXED,Claude,templates/patient_file.html;models.py;app.py
FEATURE-F22,2026-04-05,No menstrual cycle details for female patients,Only menstruacion text field always hidden,Added select for ciclo + anticonceptivos input shown only for female patients with JS toggle,Complete female health assessment,FIXED,Claude,templates/patient_file.html;models.py;app.py
FEATURE-F18,2026-04-05,No per-meal macros in pauta view,Only total kcal shown in meal headers,Added P/C/G display in meal header badges,Detailed macro breakdown per meal,FIXED,Claude,templates/patient_list.html
CRITICAL-001,2026-04-08,Pauta IA crashes 500: AlimentoSeleccionado.grupo_normalizado,AlimentoSeleccionado class lacks grupo_normalizado attribute accessed at line 1293,Changed a.grupo_normalizado to a.grupo in post-validation block,Pauta generation no longer crashes,FIXED,Claude,pauta_generator.py
CRITICAL-002,2026-04-08,sin_lactosa restriction allows dairy in pauta,Incomplete keyword list + no group substitution in ESTRUCTURA_COMIDAS,Expanded lactose keywords + added sin_lactosa group substitution mirroring vegano logic,Dairy products excluded when sin_lactosa is set,FIXED,Claude,pauta_generator.py
CRITICAL-003,2026-04-08,Metodo factorial/calorimetria GET overwritten on save,calcular_get() always runs Harris-Benedict ignoring metodo_calculo,Added guard: skip GET recalculation if metodo is calorimetria/factorial and GET exists,Manual GET values preserved,FIXED,Claude,models.py
CRITICAL-004,2026-04-08,Radar chart blank — canvas in collapsed accordion,Chart.js renders 0-dimension canvas when accordion is closed on DOMContentLoaded,Deferred initHabitosRadarChart() to shown.bs.collapse event,Chart renders with correct dimensions when section opened,FIXED,Claude,templates/patient_file.html
UX-001,2026-04-08,No mode indicator view vs edit,User cannot tell if ficha is in view or edit mode,Added sticky banner showing current mode + inline Edit button in view mode,Clear visual feedback on mode state,FIXED,Claude,templates/patient_file.html;js/patient-file.js
UX-002,2026-04-08,Fibra macronutrient on second line,3x col-md-4 + 1x col-md-3 = wraps to 2nd row,Changed all 4 macro boxes to col-6 col-md-3 (4-across on desktop 2-across mobile),All macros on single horizontal line,FIXED,Claude,templates/patient_file.html
UX-003,2026-04-08,Invitar paciente button purple instead of brand green,Hard-coded #8b5cf6 violet gradient,Replaced all purple gradients with #10b981/#059669 emerald in dashboard + modal,Consistent brand colors,FIXED,Claude,templates/nutritionist_dashboard.html
UX-004,2026-04-08,PRE-CONSULTA badge invisible in light mode,bg-purple CSS class undefined in Bootstrap,Replaced with inline style background #10b981,Badge always visible,FIXED,Claude,templates/nutritionist_dashboard.html
UX-005,2026-04-08,Empresa visible in registration form,Option not needed for current user base,Commented out empresa option from register.html,Cleaner registration flow,FIXED,Claude,templates/register.html
UX-006,2026-04-08,Login error text not visible enough,Flash message styling too subtle for wrong password,Added bold red styling for danger category flash messages,Clear error feedback,FIXED,Claude,templates/login.html
UX-007,2026-04-08,Dashboard Crear Pauta card redundant,Same function accessible from sidebar,Commented out Crear Pauta action card,Cleaner dashboard,FIXED,Claude,templates/nutritionist_dashboard.html
UX-008,2026-04-08,Naming inconsistency Lista Pacientes vs Abrir Ficha,Two navigation items with different names for same URL,Renamed dashboard card to Mis Pacientes,Consistent naming,FIXED,Claude,templates/nutritionist_dashboard.html
UX-009,2026-04-08,Theme toggle no tooltip + unclear icon,Button had only generic title Cambiar tema,Updated title to Cambiar modo claro/oscuro,Clear purpose on hover,FIXED,Claude,templates/base_layout.html
UX-010,2026-04-08,No tooltips on patient list action buttons,Ver and Eliminar buttons had no title attribute,Added title=Ver Ficha del Paciente and Eliminar Paciente,Mobile-friendly hover text,FIXED,Claude,templates/patient_list.html
UX-011,2026-04-08,Ajuste (kcal) field not explained,Users confused about deficit/surplus purpose,Added info icon with tooltip explaining deficit (-) and surplus (+),Self-documenting field,FIXED,Claude,templates/patient_file.html
UX-012,2026-04-08,Patient file header buttons purple/indigo inconsistent,Pauta Manual and Alertas IA used non-brand colors,Changed all header buttons to brand green gradient + added tooltips,Consistent branding + accessible,FIXED,Claude,templates/patient_file.html
FIX-SINTOMAS,2026-04-08,sintomas_gi used wrong format_labels category,Was using diagnosticos label map for GI symptoms,Changed to direct string display with proper join for array values,Correct symptom display,FIXED,Claude,templates/patient_file.html
