superalimento_id,nombre,nombre_cientifico,categoria_id,descripcion,origen,forma_consumo,disponibilidad,precio_relativo,precauciones,funcion_principal,tipo_alimento,proveedor,preciokilo,calorias,proteinas,carbohidratos,grasas_totales,grasas_saturadas,grasas_insaturadas,omega_3,omega_6,fibra,azucares,indice_glucemico,unidad_medida,porcion_referencia,vitamina_a,vitamina_c,vitamina_d,vitamina_e,vitamina_k,vitamina_b1,vitamina_b2,vitamina_b3,vitamina_b5,vitamina_b6,vitamina_b9,vitamina_b12,calcio,hierro,magnesio,fosforo,potasio,sodio,zinc,cobre,manganeso,selenio,yodo,polifenoles,flavonoides,carotenoides,antocianinas,capacidad_antioxidante_total,tipo_procesamiento,dosis_min_diaria,dosis_max_diaria,unidad_dosis,fuente_cientifica_dosis,clasificacion,sinergias,antisinergias,biodisponibilidad_porcentaje,claims_seremi,claims_referencia
1,espirulina,arthrospira platensis,1,"microalga azul-verdosa con alto contenido proteico y nutricional, considerada un superalimento por su densidad nutricional.","lagos alcalinos en africa, asia y america central","en polvo, tabletas o capsulas. se puede anadir a batidos, zumos o yogures.",todo el ano,3,"no recomendada para personas con fenilcetonuria, trastornos autoinmunes o alergia a algas. alta concentracion de arsenico.",🥬 detox hepatico,polvo,herbanatural,10.0,290.0,57.5,23.9,7.7,2.6,5.1,1.8,1.3,3.6,3.1,15.0,g,100,56.0,10.1,0.0,5.0,2.5,2.4,3.7,14.9,3.5,0.4,9.0,0.0,12.0,28.5,19.0,118.0,127.0,98.0,0.2,0.6,0.5,0.7,142.0,0,0.0,56.0,0.0,24.6,alimento_completo,3.0,10.0,g,European Journal of Clinical Nutrition 73(6):812-821 (2019),superalimento,vitamina c (+35% absorcion de hierro),,85,bajo_en_sodio|buena_fuente_fibra|buena_fuente_hierro|excelente_fuente_hierro|buena_fuente_vitamina_c,por_100g
2,chlorella,chlorella vulgaris,1,"alga unicelular verde rica en clorofila, proteinas y nutrientes. conocida por sus propiedades desintoxicantes.",agua dulce en asia,"en polvo, tabletas o capsulas. se puede anadir a batidos, zumos o yogures.",todo el ano,3,puede contener altos niveles de yodo. no recomendada para personas con trastornos de tiroides o alergia a algas.,🥬 detox hepatico,polvo,herbanatural,20.0,336.0,58.4,23.0,9.6,2.4,7.2,0.2,0.1,9.9,1.4,15.0,g,100,51000.0,15.6,0.0,1.5,0.0,0.1,4.8,23.8,1.3,1.4,26.0,0.0,22.0,58.0,33.0,89.0,79.0,43.0,0.3,0.08,0.3,0.4,287.0,0,0.0,51000.0,0.0,30.2,alimento_completo,3.0,10.0,g,Nutrition Journal 13:57 (2014),superalimento,vitamina c (+30% absorcion de hierro),,80,bajo_en_sodio|buena_fuente_fibra|excelente_fuente_fibra|buena_fuente_hierro|excelente_fuente_hierro|buena_fuente_vitamina_a|excelente_fuente_vitamina_a|buena_fuente_vitamina_c,por_100g
3,kelp,laminaria spp.,1,alga marina marron rica en yodo y minerales. utilizada tradicionalmente en cocinas asiaticas.,oceanos de todo el mundo,"seca, en polvo o fresca. se utiliza en sopas, ensaladas y platos asiaticos.",todo el ano,2,alto contenido en yodo. no recomendada para personas con hipertiroidismo o sensibilidad al yodo.,❤ hormonal,polvo,herbanatural,30.0,43.0,1.7,9.6,0.6,0.1,0.5,0.1,0.0,1.3,0.6,30.0,g,100,116.0,3.0,0.0,0.87,66.0,0.05,0.15,0.47,0.64,0.03,180.0,0.0,168.0,2.8,121.0,42.0,89.0,233.0,0.8,0.13,0.2,0.7,2523.0,78,12.0,116.0,0.0,54.0,alimento_completo,1.0,5.0,g,Marine Drugs 14(11):205 (2016),superalimento,,,70,bajo_en_grasa|buena_fuente_calcio|buena_fuente_hierro|buena_fuente_vitamina_a,por_100g
4,nori,porphyra spp.,1,"alga marina roja utilizada comunmente en la cocina japonesa, especialmente para sushi.",oceanos de asia,"en laminas secas para sushi, como condimento o snack.",todo el ano,2,contiene yodo. consumir con moderacion en caso de problemas de tiroides.,❤ hormonal,hoja / infusion,herbanatural,40.0,35.0,5.8,5.1,0.3,0.1,0.2,0.1,0.0,0.3,0.0,5.0,g,100,77.0,0.0,0.0,0.3,13.0,0.06,0.23,2.45,0.8,0.14,196.0,0.0,28.0,1.2,77.0,58.0,356.0,59.0,0.4,0.14,0.65,0.3,232.0,126,43.0,77.0,0.0,39.4,alimento_completo,2.0,8.0,g,Journal of Applied Phycology 23(3):543-549 (2011),superalimento,,,60,bajo_en_grasa|bajo_en_sodio|buena_fuente_potasio|bajo_en_calorias|libre_de_grasa,por_100g
5,wakame,undaria pinnatifida,1,"alga marina verde oscuro popular en la cocina asiatica, especialmente en sopas.",oceanos de asia,"rehidratada en sopas, ensaladas y platos asiaticos.",todo el ano,2,contiene yodo. consumir con moderacion en caso de problemas de tiroides.,❤ hormonal,hoja / infusion,herbanatural,10.0,45.0,3.0,9.1,0.6,0.1,0.5,0.2,0.0,0.5,0.0,15.0,g,100,42.0,3.0,0.0,0.26,5.3,0.03,0.23,1.0,0.85,0.08,196.0,0.0,150.0,2.2,107.0,80.0,50.0,872.0,0.3,0.1,0.78,0.3,185.0,102,38.0,42.0,0.0,41.6,alimento_completo,,,,,superalimento,,,60,bajo_en_grasa|buena_fuente_calcio|buena_fuente_hierro,por_100g
6,chia,salvia hispanica,2,"pequenas semillas negras y blancas ricas en omega-3, fibra y proteinas.",america central y del sur,"crudas, remojadas, en batidos, pudines, como topping o en productos horneados.",todo el ano,2,pueden causar problemas digestivos si se consumen sin suficiente liquido. alto contenido en fibra.,🥬 digestivo,semilla / grano,herbanatural,20.0,486.0,16.5,42.1,30.7,3.3,27.4,17.8,5.8,34.4,0.0,1.0,g,100,54.0,1.6,0.0,0.5,0.0,0.62,0.17,8.83,0.94,0.0,49.0,0.0,631.0,7.7,335.0,860.0,407.0,16.0,4.6,0.92,2.72,55.2,0.0,215,0.0,54.0,0.0,97.5,alimento_completo,10.0,25.0,g,Nutrition Reviews 67(10):569-578 (2009),superalimento,grasas saludables (+50% absorcion omega-3),,75,bajo_en_sodio|buena_fuente_fibra|excelente_fuente_fibra|buena_fuente_calcio|excelente_fuente_calcio|buena_fuente_hierro|excelente_fuente_hierro|buena_fuente_potasio,por_100g
7,lino,linum usitatissimum,2,"semillas pequenas marrones ricas en omega-3, lignanos y fibra.",oriente medio y mediterraneo,"molidas para mejor absorcion, en batidos, yogures, ensaladas o productos horneados.",todo el ano,1,contienen pequenas cantidades de compuestos cianogenicos. no consumir en exceso durante el embarazo.,🥬 digestivo,semilla / grano,herbanatural,30.0,534.0,18.3,28.9,42.2,3.7,38.5,22.8,5.9,27.3,1.5,35.0,g,100,0.0,0.6,0.0,0.31,4.3,1.64,0.16,3.08,0.99,0.47,87.0,0.0,255.0,5.7,392.0,642.0,813.0,30.0,4.3,1.22,2.48,25.4,0.0,277,0.0,0.0,0.0,19.8,alimento_completo,,,,,alimento_comun,,,60,bajo_en_sodio|buena_fuente_fibra|excelente_fuente_fibra|buena_fuente_calcio|excelente_fuente_calcio|buena_fuente_hierro|excelente_fuente_hierro|buena_fuente_potasio|excelente_fuente_potasio,por_100g
8,canamo,cannabis sativa,2,semillas verdes con alto contenido proteico y perfil completo de aminoacidos esenciales.,asia central,"crudas, tostadas, en aceite, leche, batidos o como topping.",todo el ano,3,no contienen thc. pueden interactuar con algunos medicamentos anticoagulantes.,🧬 energizante,semilla / grano,herbanatural,40.0,553.0,31.6,8.7,48.8,4.6,44.2,8.7,28.0,4.0,1.5,20.0,g,100,100.0,0.5,0.0,0.8,0.0,0.4,0.11,2.8,0.9,0.1,110.0,0.0,70.0,8.0,700.0,1650.0,1200.0,5.0,9.9,1.6,7.6,0.0,0.0,0,0.0,100.0,0.0,53.0,alimento_completo,15.0,30.0,g,Nutrients 12(12):3625 (2020),superalimento,grasas saludables (+60% absorcion omega-3),,45,bajo_en_sodio|buena_fuente_fibra|buena_fuente_hierro|excelente_fuente_hierro|buena_fuente_vitamina_a|buena_fuente_potasio|excelente_fuente_potasio,por_100g
9,nueces,juglans regia,2,"frutos secos con forma de cerebro, ricos en omega-3, antioxidantes y proteinas.","asia central, extendidas globalmente","crudas, tostadas, en ensaladas, postres o como snack.",todo el ano,2,alergeno comun. alto contenido calorico.,🧠 cognitivo,semilla / grano,herbanatural,40.0,654.0,15.2,13.7,65.2,6.1,59.1,9.1,38.1,6.7,2.6,15.0,g,100,20.0,1.3,0.0,0.7,2.7,0.34,0.15,1.13,1.25,0.54,98.0,0.0,98.0,2.9,158.0,346.0,441.0,2.0,3.1,1.59,3.41,5.0,0.0,1576,680.0,20.0,0.0,135.0,alimento_completo,15.0,30.0,g,Nutrients 10(12):1935 (2018),alimento_comun,grasas saludables (+40% absorcion omega-3),,60,bajo_en_sodio|buena_fuente_fibra|excelente_fuente_fibra|buena_fuente_hierro|buena_fuente_potasio,por_100g
10,almendras,prunus dulcis,2,"frutos secos ricos en vitamina e, magnesio y grasas saludables.",oriente medio y asia central,"crudas, tostadas, en leche, mantequilla, harinas o como snack.",todo el ano,2,alergeno comun. contienen inhibidores enzimaticos cuando estan crudas.,❤ colesterol,semilla / grano,herbanatural,40.0,579.0,21.2,21.7,49.9,3.8,46.1,0.0,12.3,12.5,4.4,15.0,g,100,0.0,0.0,0.0,25.6,0.0,0.21,1.14,3.62,0.47,0.14,50.0,0.0,269.0,3.7,270.0,481.0,733.0,1.0,3.1,1.03,2.28,4.1,0.0,187,39.0,0.0,0.0,44.5,alimento_completo,20.0,30.0,g,European Journal of Nutrition 53(4):1025-1033 (2014),alimento_comun,,,60,bajo_en_sodio|buena_fuente_fibra|excelente_fuente_fibra|buena_fuente_calcio|excelente_fuente_calcio|buena_fuente_hierro|excelente_fuente_hierro|buena_fuente_potasio|excelente_fuente_potasio,por_100g
